Expiration,Bid,Ask,Mid,Points,Date
Overnight,1.44086,1.44117,1.44102,0.0,2025-01-31
Tomorrow Next,1.44068,1.441,1.44084,-1.76,2025-02-01
Spot Next,1.44068,1.441,1.44084,-1.76,2025-02-02
One Week,1.44045,1.44077,1.44061,-4.07,2025-02-06
Two Week,1.44004,1.44036,1.4402,-8.17,2025-02-13
Three Week,1.43962,1.43995,1.43979,-12.26,2025-02-20
One Month,1.4392,1.43953,1.43936,-16.53,2025-03-01
Two Month,1.43729,1.43764,1.43747,-35.49,2025-03-31
Three Month,1.43539,1.43575,1.43557,-54.5,2025-04-30
Four Month,1.43349,1.43387,1.43368,-73.375,2025-05-30
Five Month,1.43154,1.43195,1.43174,-92.75,2025-06-29
Six Month,1.42969,1.4301,1.42989,-111.25,2025-07-29
Seven Month,1.42791,1.42837,1.42814,-128.75,2025-08-28
Eight Month,1.42609,1.42655,1.42632,-147.0,2025-09-27
Nine Month,1.42421,1.42467,1.42444,-165.75,2025-10-27
Ten Month,1.42259,1.4231,1.42284,-181.75,2025-11-26
Eleven Month,1.42071,1.42122,1.42097,-200.5,2025-12-26
One Year,1.41881,1.41932,1.41907,-219.5,2026-01-30
Two Year,1.39846,1.39907,1.39877,-422.5,2027-01-30
Three Year,1.37786,1.37867,1.37827,-627.5,2028-01-30
Four Year,1.35896,1.35977,1.35937,-816.5,2029-01-29
Five Year,1.34196,1.34277,1.34237,-986.5,2030-01-29
