Expiration,Bid,Ask,Mid,Points,Date
Overnight,1.03931,1.03953,1.03942,0.387,2025-01-31
Tomorrow Next,1.03939,1.03961,1.0395,1.238,2025-02-01
Spot Next,1.03931,1.03953,1.03942,0.396,2025-02-02
One Week,1.03958,1.03981,1.0397,3.155,2025-02-06
Two Week,1.03996,1.04019,1.04007,6.9215,2025-02-13
Three Week,1.04024,1.04047,1.04035,9.749,2025-02-20
One Month,1.04058,1.04081,1.04069,13.141,2025-03-01
Two Month,1.04218,1.04242,1.0423,29.2125,2025-03-31
Three Month,1.04392,1.04416,1.04404,46.5835,2025-04-30
Four Month,1.0455,1.04576,1.04563,62.514,2025-05-30
Five Month,1.04721,1.04747,1.04734,79.6305,2025-06-29
Six Month,1.04901,1.04929,1.04915,97.6955,2025-07-29
Seven Month,1.05071,1.05099,1.05085,114.737,2025-08-28
Eight Month,1.05244,1.05273,1.05258,132.039,2025-09-27
Nine Month,1.05421,1.05451,1.05436,149.787,2025-10-27
Ten Month,1.05591,1.05621,1.05606,166.788,2025-11-26
Eleven Month,1.05791,1.05825,1.05808,186.989,2025-12-26
One Year,1.05953,1.05989,1.05971,203.337,2026-01-30
Two Year,1.07944,1.08008,1.07976,403.807,2027-01-30
Three Year,1.09867,1.09959,1.09913,597.5,2028-01-30
Four Year,1.11727,1.11849,1.11788,785.0,2029-01-29
Five Year,1.13617,1.13739,1.13678,974.0,2030-01-29
Six Year,1.15437,1.15609,1.15523,1158.5,2031-01-29
Seven Year,1.17247,1.17469,1.17358,1342.0,2032-01-29
Ten Year,1.22547,1.22969,1.22758,1882.0,2035-01-28
