Expiration,Bid,Ask,Mid,Points,Date
Tomorrow Next,1.19483,1.19512,1.19497,-2.27,2025-02-01
One Week,1.19464,1.19493,1.19479,-4.145,2025-02-06
One Month,1.19342,1.19372,1.19357,-16.325,2025-03-01
Two Month,1.19146,1.19178,1.19162,-35.8,2025-03-31
Three Month,1.18927,1.1896,1.18944,-57.64,2025-04-30
Four Month,1.18747,1.18782,1.18765,-75.525,2025-05-30
Five Month,1.18546,1.18583,1.18564,-95.575,2025-06-29
Six Month,1.1833,1.18369,1.1835,-117.03,2025-07-29
Seven Month,1.18131,1.18173,1.18152,-136.79,2025-08-28
Eight Month,1.17932,1.17977,1.17955,-156.52,2025-09-27
Nine Month,1.17726,1.17775,1.1775,-176.98,2025-10-27
Ten Month,1.17531,1.1758,1.17556,-196.45,2025-11-26
Eleven Month,1.17303,1.17352,1.17328,-219.225,2025-12-26
One Year,1.17118,1.17167,1.17142,-237.79,2026-01-30
