Expiration,Bid,Ask,Mid,Points,Date
Overnight,1.24256,1.24282,1.24269,-0.195,2025-01-31
Tomorrow Next,1.24249,1.24275,1.24262,-0.88,2025-02-01
Spot Next,1.24256,1.24283,1.24269,-0.1545,2025-02-02
One Week,1.24252,1.24278,1.24265,-0.5835,2025-02-06
Two Week,1.24249,1.24276,1.24262,-0.8525,2025-02-13
Three Week,1.24247,1.24274,1.2426,-1.063,2025-02-20
One Month,1.24244,1.24272,1.24258,-1.3065,2025-03-01
Two Month,1.24231,1.2426,1.24245,-2.5775,2025-03-31
Three Month,1.24216,1.24247,1.24231,-3.955,2025-04-30
Four Month,1.24209,1.24241,1.24225,-4.567,2025-05-30
Five Month,1.24201,1.24235,1.24218,-5.328,2025-06-29
Six Month,1.24189,1.24224,1.24207,-6.4425,2025-07-29
Seven Month,1.24185,1.24222,1.24204,-6.7365,2025-08-28
Eight Month,1.24181,1.24219,1.242,-7.1265,2025-09-27
Nine Month,1.24173,1.24213,1.24193,-7.817,2025-10-27
Ten Month,1.24167,1.24208,1.24188,-8.3455,2025-11-26
Eleven Month,1.24164,1.24207,1.24186,-8.529,2025-12-26
One Year,1.24158,1.24202,1.2418,-9.061,2026-01-30
Two Year,1.24148,1.24204,1.24176,-9.5,2027-01-30
Three Year,1.24268,1.24334,1.24301,3.0,2028-01-30
Four Year,1.24318,1.24484,1.24401,13.0,2029-01-29
Five Year,1.24278,1.24804,1.24541,27.0,2030-01-29
